,Adjusted P-value,Combined Score,Gene_set,Genes,Odds Ratio,Old Adjusted P-value,Old P-value,Overlap,P-value,Term
26,0.0004129034237840604,721.3099378931073,Reactome_2016,FGB;FGA;FGG,60.97560975609756,0,0,3/246,7.2865310079540055e-06,Signalling to RAS_Homo sapiens_R-HSA-167044
27,0.0004079568039696083,714.0222439112781,Reactome_2016,FGB;FGA;FGG,60.48387096774193,0,0,3/248,7.465876151077799e-06,VEGFR2 mediated cell proliferation_Homo sapiens_R-HSA-5218921
28,0.0004132750755999763,699.8288290771568,Reactome_2016,FGB;FGA;FGG,59.52380952380952,0,0,3/252,7.833318426404779e-06,Interleukin-2 signaling_Homo sapiens_R-HSA-451927
29,0.0004042779780292589,696.3577164964264,Reactome_2016,FGB;FGA;FGG,59.28853754940711,0,0,3/253,7.927019177044291e-06,Signalling to ERKs_Homo sapiens_R-HSA-187687
30,0.00039123675293154084,696.3577164964264,Reactome_2016,FGB;FGA;FGG,59.28853754940711,0,0,3/253,7.927019177044291e-06,"Platelet activation, signaling and aggregation_Homo sapiens_R-HSA-76002"
31,0.00041613963935810687,669.6423444874104,Reactome_2016,FGB;FGA;FGG,57.4712643678161,0,0,3/261,8.703574156509425e-06,"Interleukin-3, 5 and GM-CSF signaling_Homo sapiens_R-HSA-512988"
32,0.0004271800572782522,653.8432560185548,Reactome_2016,FGB;FGA;FGG,56.390977443609025,0,0,3/266,9.213687509923088e-06,NCAM signaling for neurite out-growth_Homo sapiens_R-HSA-375165
33,0.000499318372558764,604.71355835365,Reactome_2016,FGB;FGA;FGG,53.003533568904594,0,0,3/283,1.1095963834639199e-05,Extracellular matrix organization_Homo sapiens_R-HSA-1474244
34,0.0004902121003747099,602.0253884949854,Reactome_2016,FGB;FGA;FGG,52.8169014084507,0,0,3/284,1.1214002296153496e-05,IRS-mediated signalling_Homo sapiens_R-HSA-112399
35,0.0004765950975865235,602.0253884949854,Reactome_2016,FGB;FGA;FGG,52.8169014084507,0,0,3/284,1.1214002296153496e-05,MAPK family signaling cascades_Homo sapiens_R-HSA-5683057
36,0.00047856398537311697,594.0849688335562,Reactome_2016,FGB;FGA;FGG,52.264808362369344,0,0,3/287,1.1573115986147274e-05,Insulin receptor signalling cascade_Homo sapiens_R-HSA-74751
37,0.0004708573480900863,591.4787622280978,Reactome_2016,FGB;FGA;FGG,52.08333333333333,0,0,3/288,1.1694496227074036e-05,IGF1R signaling cascade_Homo sapiens_R-HSA-2428924
38,0.00045878408275444295,591.4787622280978,Reactome_2016,FGB;FGA;FGG,52.08333333333333,0,0,3/288,1.1694496227074036e-05,Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)_Homo sapiens_R-HSA-2404192
39,0.0004473144806855818,591.4787622280978,Reactome_2016,FGB;FGA;FGG,52.08333333333333,0,0,3/288,1.1694496227074036e-05,IRS-related events triggered by IGF1R_Homo sapiens_R-HSA-2428928
40,0.00044096537091829833,588.892482211638,Reactome_2016,FGB;FGA;FGG,51.90311418685121,0,0,3/289,1.1816719089967473e-05,FCERI mediated MAPK activation_Homo sapiens_R-HSA-2871796
41,0.0005363966059485083,536.6233181741245,Reactome_2016,FGB;FGA;FGG,48.231511254019296,0,0,3/311,1.4724612712311997e-05,Signaling by Insulin receptor_Homo sapiens_R-HSA-74752
42,0.0005706977104396638,517.5222089516375,Reactome_2016,FGB;FGA;FGG,46.87499999999999,0,0,3/320,1.6039216698631075e-05,VEGFA-VEGFR2 Pathway_Homo sapiens_R-HSA-4420097
43,0.0005842554899703012,507.4156416205901,Reactome_2016,FGB;FGA;FGG,46.153846153846146,0,0,3/325,1.6802118665812578e-05,Signaling by SCF-KIT_Homo sapiens_R-HSA-1433557
44,0.0005872214707018133,501.5153525031361,Reactome_2016,FGB;FGA;FGG,45.73170731707317,0,0,3/328,1.7271219726523927e-05,Signaling by VEGF_Homo sapiens_R-HSA-194138
45,0.00057972023248025,499.5750705084716,Reactome_2016,FGB;FGA;FGG,45.59270516717325,0,0,3/329,1.742949718568072e-05,Downstream signaling of activated FGFR2_Homo sapiens_R-HSA-5654696
46,0.0005673857594487553,499.5750705084716,Reactome_2016,FGB;FGA;FGG,45.59270516717325,0,0,3/329,1.742949718568072e-05,Downstream signaling of activated FGFR4_Homo sapiens_R-HSA-5654716
47,0.0005555652227935728,499.5750705084716,Reactome_2016,FGB;FGA;FGG,45.59270516717325,0,0,3/329,1.742949718568072e-05,Downstream signaling of activated FGFR3_Homo sapiens_R-HSA-5654708
48,0.0005491992647601278,497.64781541337476,Reactome_2016,FGB;FGA;FGG,45.45454545454545,0,0,3/330,1.7588734623036768e-05,Signaling by ERBB4_Homo sapiens_R-HSA-1236394
49,0.0005480490855600466,493.8318845690999,Reactome_2016,FGB;FGA;FGG,45.180722891566255,0,0,3/332,1.791010083529564e-05,Signaling by FGFR4_Homo sapiens_R-HSA-5654743
50,0.0005373030250588692,493.8318845690999,Reactome_2016,FGB;FGA;FGG,45.180722891566255,0,0,3/332,1.791010083529564e-05,Downstream signaling of activated FGFR1_Homo sapiens_R-HSA-5654687
51,0.0005317407698021032,491.9429620717437,Reactome_2016,FGB;FGA;FGG,45.04504504504504,0,0,3/333,1.807223531353553e-05,Signaling by FGFR3_Homo sapiens_R-HSA-5654741
52,0.0005359179632012248,486.3509179986967,Reactome_2016,FGB;FGA;FGG,44.64285714285714,0,0,3/336,1.8564478463833278e-05,Signaling by FGFR1_Homo sapiens_R-HSA-5654736
53,0.0005497947452222387,477.2729255594381,Reactome_2016,FGB;FGA;FGG,43.988269794721404,0,0,3/341,1.9404520419608425e-05,Downstream signal transduction_Homo sapiens_R-HSA-186763
54,0.0005541507823194948,471.9664346141341,Reactome_2016,FGB;FGA;FGG,43.6046511627907,0,0,3/344,1.9920452959197527e-05,DAP12 signaling_Homo sapiens_R-HSA-2424491
55,0.0005980660508960669,453.3583386237043,Reactome_2016,FGB;FGA;FGG,42.25352112676056,0,0,3/355,2.1889999248483498e-05,Signaling by EGFR_Homo sapiens_R-HSA-177929
56,0.000607625245938796,446.9049018550039,Reactome_2016,FGB;FGA;FGG,41.78272980501393,0,0,3/359,2.2637018966347305e-05,DAP12 interactions_Homo sapiens_R-HSA-2172127
57,0.0006071670373279822,443.73767133851646,Reactome_2016,FGB;FGA;FGG,41.55124653739613,0,0,3/361,2.301678965034181e-05,Signaling by FGFR2_Homo sapiens_R-HSA-5654738
58,0.0006118531091295963,439.0592263394373,Reactome_2016,FGB;FGA;FGG,41.208791208791204,0,0,3/364,2.359433558081449e-05,Signaling by PDGF_Homo sapiens_R-HSA-186797
59,0.0006116088109439169,435.98754630304893,Reactome_2016,FGB;FGA;FGG,40.983606557377044,0,0,3/366,2.3984659252702626e-05,Signaling by FGFR_Homo sapiens_R-HSA-190236
60,0.0006418171900754981,424.0650880627487,Reactome_2016,FGB;FGA;FGG,40.106951871657756,0,0,3/374,2.5588789931114636e-05,NGF signalling via TRKA from the plasma membrane_Homo sapiens_R-HSA-187037
61,0.0007268699649788375,399.2086067984309,Reactome_2016,FGB;FGA;FGG,38.265306122448976,0,0,3/392,2.9454861325939818e-05,Signaling by Interleukins_Homo sapiens_R-HSA-449147
62,0.000731841117627538,395.3102053662756,Reactome_2016,FGB;FGA;FGG,37.97468354430379,0,0,3/395,3.013463425525157e-05,Fc epsilon receptor (FCERI) signaling_Homo sapiens_R-HSA-2454202
63,0.0009416944689730787,352.1517225674067,Reactome_2016,FGB;FGA;FGG,34.72222222222222,0,0,3/432,3.939114118580199e-05,Gastrin-CREB signalling pathway via PKC and MAPK_Homo sapiens_R-HSA-881907
64,0.0010475781924605759,333.9970002234783,Reactome_2016,FGB;FGA;FGG,33.333333333333336,0,0,3/450,4.4504955888848e-05,Signalling by NGF_Homo sapiens_R-HSA-166520
65,0.001543939216234194,280.10057674481084,Reactome_2016,FGB;FGA;FGG,29.12621359223301,0,0,3/515,6.660129952382798e-05,Axon guidance_Homo sapiens_R-HSA-422475
66,0.0018709013314529546,255.69742836424604,Reactome_2016,FGB;FGA;FGG,27.173913043478255,0,0,3/552,8.192835895905095e-05,Hemostasis_Homo sapiens_R-HSA-109582
67,0.002606772652412726,219.26994347507915,Reactome_2016,FGB;FGA;FGG,24.193548387096772,0,0,3/620,0.0001158565623294545,Cytokine Signaling in Immune system_Homo sapiens_R-HSA-1280215
68,0.005206263564848714,159.48109458680506,Reactome_2016,FGB;FGA;FGG,19.083969465648853,0,0,3/786,0.0002347922784147459,Developmental Biology_Homo sapiens_R-HSA-1266738
69,0.005550359440234932,153.87398441731818,Reactome_2016,FGB;FGA;FGG,18.587360594795534,0,0,3/807,0.00025393801360551975,Innate Immune System_Homo sapiens_R-HSA-168249
70,0.02211606889304566,79.83519689999237,Reactome_2016,FGB;FGA;FGG,11.600928074245939,0,0,3/1293,0.00102630123621323,Signaling by GPCR_Homo sapiens_R-HSA-372790
71,0.03699190403033833,61.603876169763346,Reactome_2016,FGB;FGA;FGG,9.6961861667744,0,0,3/1547,0.0017407954837806274,Immune System_Homo sapiens_R-HSA-168256
